PlayerID,Player,Team,Positions,Games,GS,W,L,SV,IP,Outs,SO,BB,ERA,WHIP
681084,Tanner Andrews,Toronto Blue Jays,P,2,0,0,0,0,3.0,9,1,2,0.0,1.0
621389,Ty Blach,Chicago Cubs,P,1,0,0,0,0,3.0,9,2,0,0.0,0.33
682997,Tyler Callihan,Pittsburgh Pirates,"1B, 2B, 3B, DH, LF, P, RF",4,0,0,0,0,3.0,9,1,3,0.0,2.0
682769,Eiberson Castellano,Colorado Rockies,P,1,0,0,0,1,3.0,9,2,0,0.0,1.33
676454,Brendan Cellucci,Toronto Blue Jays,P,2,0,0,0,0,3.0,9,4,0,0.0,0.0
664744,Jose Espada,Baltimore Orioles,P,1,0,0,0,0,1.0,3,0,0,0.0,2.0
804668,Rafael Flores Jr.,Pittsburgh Pirates,"1B, C, P",1,0,0,0,0,1.0,3,0,0,0.0,2.0
543238,Anthony Gose,Kansas City Royals,P,10,0,1,1,0,9.1,28,4,1,0.0,0.96
680686,Josiah Gray,Washington Nationals,P,1,0,0,0,0,1.0,3,0,0,0.0,1.0
664059,Sam Haggerty,Texas Rangers,"CF, DH, LF, P",1,0,0,0,0,1.0,3,0,0,0.0,0.0
643361,Kevin Herget,New York Mets,P,1,0,0,0,0,1.0,3,0,0,0.0,0.0
571771,Enrique Hernández,Los Angeles Dodgers,"1B, 2B, 3B, CF, LF, P",1,0,0,0,0,1.0,3,0,0,0.0,1.0
700327,Welinton Herrera,Colorado Rockies,P,3,0,0,0,0,2.1,7,2,1,0.0,1.29
664731,P.J. Higgins,Cincinnati Reds,"C, P",1,0,0,0,0,1.0,3,1,0,0.0,0.0
680880,Grant Holman,Philadelphia Phillies,P,1,0,0,0,0,0.1,1,0,1,0.0,15.0
687859,Troy Johnston,Colorado Rockies,"1B, DH, LF, P, RF",2,0,0,0,0,2.0,6,0,1,0.0,1.0
681520,Antoine Kelly,Chicago Cubs,P,1,0,0,0,0,1.1,4,1,1,0.0,0.75
621139,Brooks Kriske,Athletics,P,2,0,0,0,0,2.2,8,2,1,0.0,1.13
571912,Luke Maile,Kansas City Royals,"C, P",1,0,0,0,0,1.0,3,0,0,0.0,0.0
679885,Justin Martinez,Arizona Diamondbacks,P,10,0,2,0,0,9.2,29,13,6,0.0,1.14
624512,Reese McGuire,Chicago White Sox,"C, P",1,0,0,0,0,1.0,3,0,0,0.0,0.0
676694,Jake Meyers,Houston Astros,"CF, LF, P",1,0,0,0,0,1.0,3,0,0,0.0,0.0
668716,Noah Murdock,Pittsburgh Pirates,P,3,0,0,0,0,3.1,10,4,3,0.0,1.8
804926,Austin Peterson,Cleveland Guardians,P,1,0,0,0,0,2.0,6,3,0,0.0,0.5
692064,José Rodríguez,Toronto Blue Jays,P,1,0,0,0,0,1.2,5,2,0,0.0,0.6
668670,Jake Rogers,Detroit Tigers,"C, P",3,0,0,0,0,2.1,7,3,1,0.0,1.71
668942,Josh Rojas,Kansas City Royals,"2B, 3B, DH, P, SS",1,0,0,0,0,1.0,3,0,0,0.0,1.0
697811,Dylan Ross,New York Mets,P,1,0,0,0,0,1.0,3,0,0,0.0,0.0
605441,Yacksel Ríos,Chicago Cubs,P,1,0,0,0,0,1.2,5,2,0,0.0,0.0
657376,Clarke Schmidt,New York Yankees,P,1,0,0,0,0,0.2,2,2,0,0.0,3.0
680474,Max Schuemann,New York Yankees,"2B, 3B, CF, DH, LF, P, RF, SS",1,0,0,0,0,1.0,3,0,1,0.0,2.0
670097,Zack Short,New York Mets,"2B, P, SS",1,0,0,0,0,1.0,3,0,0,0.0,0.0
668831,Garrett Stallings,Milwaukee Brewers,P,6,0,0,0,1,14.0,42,17,5,0.0,0.64
596142,Gary Sánchez,Milwaukee Brewers,"1B, C, DH, P",2,0,0,0,0,2.0,6,0,0,0.0,2.0
663494,Bryan Torres,St. Louis Cardinals,"2B, 3B, CF, DH, LF, P",1,0,0,0,0,2.0,6,0,1,0.0,1.0
592826,Vince Velasquez,Chicago Cubs,P,2,0,0,0,0,3.1,10,1,0,0.0,0.3
687721,Cameron Weston,Baltimore Orioles,P,1,0,0,0,0,1.0,3,1,1,0.0,1.0
670871,Guillo Zuñiga,New York Mets,P,1,0,0,0,0,1.0,3,1,1,0.0,1.0
666374,Matt Brash,Seattle Mariners,P,20,0,3,0,0,16.2,50,15,6,0.54,0.84
663158,Robert Suarez,Atlanta Braves,P,31,0,4,0,4,32.0,96,26,6,0.56,0.84
623352,Josh Hader,Houston Astros,P,44,0,4,1,26,43.1,130,55,11,0.83,0.65
571882,Derek Law,Arizona Diamondbacks,P,7,1,0,0,0,9.0,27,5,2,1.0,1.11
696146,Hagen Smith,Chicago White Sox,P,15,1,3,2,0,24.2,74,37,13,1.09,0.89
695243,Mason Miller,San Diego Padres,P,61,0,5,2,37,64.1,193,119,23,1.12,0.85
695001,Alimber Santa,Houston Astros,P,10,0,0,1,0,15.1,46,9,6,1.17,0.91
681544,Wyatt Olds,Boston Red Sox,P,13,0,2,0,0,15.0,45,20,7,1.2,1.2
687941,Alec Gamboa,Boston Red Sox,P,19,2,1,0,1,29.2,89,21,9,1.21,1.04
678061,Ray Kerr,Atlanta Braves,P,7,0,0,0,0,14.1,43,10,1,1.26,0.49
686973,Louis Varland,Toronto Blue Jays,P,69,0,5,6,34,76.0,228,95,22,1.3,1.0
660787,Yerry De los Santos,New York Yankees,P,15,0,1,0,0,20.0,60,15,8,1.35,1.2
702153,Brian Fitzpatrick,Milwaukee Brewers,P,5,0,0,0,0,6.2,20,5,3,1.35,1.5
594835,Marco Gonzales,Texas Rangers,P,3,0,0,0,1,6.2,20,3,4,1.35,1.65
665645,Kervin Castro,New York Yankees,P,5,0,0,0,0,6.1,19,8,2,1.42,0.79
605218,Carl Edwards Jr.,New York Mets,P,2,0,0,0,0,6.0,18,11,4,1.5,1.17
694357,Ricky Tiedemann,Toronto Blue Jays,P,5,0,0,0,0,6.0,18,8,6,1.5,1.83
701121,Logan VanWey,Houston Astros,P,5,0,1,0,0,6.0,18,5,0,1.5,0.83
641329,Bryan Baker,Tampa Bay Rays,P,62,0,3,2,40,59.1,178,62,21,1.52,0.89
